2		50	0	319
4		880	1	308	
8		780	2	219
14		853	3	171
50		540	16	227
92		2137	23	263
146		3423	17	394
199		4865	15	469
258		4496	43	584
296		3169	14	248
352		2035	16	195
398		1396	16	172
453		1737	15	129
499		1942	17	226
549		2319	13	185
600		1755	15	225
648		1787	14	200
704		1928	16	254
747		1427	16	280
802		2106	16	418	
845		2750	14	420	
889		2173	49	598
1224		546	159	362
