  0.560187778 -0.193205848  0.718377392
  0.756975556 -0.239137248  0.324606194
  0.874387778 -0.288065504  0.357383928
  0.97512 -0.809356137  0.40880612
  1.08568889 -0.194395879  0.371011598
  1.20962222 -0.969242901  0.3532807
  1.33241111 -0.660248593  0.264046374
  1.60672222 -0.794015579  0.417562625
  1.88653333 -0.465288034  0.303744934
  2.09977778 -0.622399102  0.40011341
  2.30306667 -0.990151744  0.332566729
  2.49972222 -0.72524606  0.630900315
  2.96849 -0.359068277  0.384365794
