# name    zcmb        zhel        dz         mb           dmb         s           ds          color       dcolor    cov_m_s     cov_m_c    cov_s_c
03D1bp    0.346000    0.346000    0.001000   22.464910    0.013550    0.880220    0.007110    0.142710    0.017210   0.000000   0.000190   0.000010
03D1cm    0.870000    0.870000    0.001000   24.468530    0.066310    1.172810    0.060930   -0.034630    0.143270   0.000870  -0.007620  -0.000070
03D1co    0.679000    0.679000    0.001000   24.093750    0.033380    0.974890    0.032270   -0.021450    0.047390   0.000460  -0.000120   0.000660
03D1ew    0.868000    0.868000    0.001000   24.358670    0.078280    1.028270    0.040000   -0.102300    0.168930   0.000450  -0.012170   0.000250
03D1fc    0.331000    0.331000    0.001000   21.799670    0.005010    0.936950    0.004910    0.042150    0.004090   0.000020   0.000010   0.000000
03D1fl    0.688000    0.688000    0.001000   23.629190    0.015110    0.998780    0.024000   -0.070280    0.020520   0.000040  -0.000130   0.000140
03D1fq    0.800000    0.800000    0.001000   24.519300    0.030460    0.806340    0.051510    0.027090    0.030400   0.001110   0.000130   0.000890
03D1gt    0.548000    0.548000    0.001000   24.119220    0.047670    0.856070    0.041810    0.244420    0.050370   0.001750   0.001580   0.001360
03D3af    0.532000    0.532000    0.001000   23.470360    0.026660    0.906920    0.022870    0.028620    0.031390   0.000450  -0.000240  -0.000090
03D3aw    0.449000    0.449000    0.001000   22.552130    0.016210    0.954510    0.012690   -0.047570    0.018880   0.000160   0.000050  -0.000020
03D3ay    0.370900    0.370900    0.001000   22.200930    0.015510    0.967810    0.010450   -0.017870    0.014190   0.000120   0.000120   0.000020
03D3ba    0.291200    0.291200    0.001000   22.048970    0.034190    1.036180    0.021310    0.263480    0.014790  -0.000350   0.000400  -0.000120
03D3bh    0.248600    0.248600    0.001000   21.132020    0.018130    0.993040    0.007510   -0.090170    0.013170   0.000080   0.000220   0.000030
03D3cc    0.462700    0.462700    0.001000   22.557750    0.111200    1.074370    0.030650   -0.070070    0.049880  -0.002640   0.005350  -0.001110
03D3cd    0.460700    0.460700    0.001000   22.562160    0.016540    1.130990    0.034020    0.025340    0.011330   0.000530   0.000140   0.000240
