# snname     z_cmb       z_hel       dz          mb           dmb        stretch     dstretch   E(B-V)      dE(B-V)    cov_mb_s      cov_mag_ebv   cov_s_ebv
  1997af     0.5790      0.5790      0.0003      23.5990      0.0720     0.8500      0.0450     -0.2150      0.2650     -0.0020030    -0.0035177   0.00
  1997ap     0.8300      0.8300      0.0019      24.3460      0.0740     1.0230      0.0450      0.1550      0.1180     -0.0021610    -0.0061216   0.00
  1997am     0.4160      0.4160      0.0002      22.5820      0.0760     1.0320      0.0600     -0.0080      0.1190     -0.0028570    -0.0052876   0.00
  1997aj     0.5810      0.5810      0.0003      23.2360      0.0650     0.9470      0.0450     -0.2130      0.1930     -0.0016930    -0.0031292   0.00
  1997eq     0.5380      0.5380      0.0005      23.2080      0.0230     0.9600      0.0270      0.0350      0.0340    -3.1000E-05   -0.00044767   0.00
  1997ek     0.8630      0.8630      0.0004      24.5090      0.0330     1.0560      0.0580     -0.0910      0.0750     3.2000E-05    -0.0010778   0.00
  1997ez     0.7780      0.7780      0.0004      24.2940      0.0330     1.0780      0.0300      0.0950      0.0680     0.00044400    -0.0010200   0.00
  1998ba     0.4300      0.4300      0.0020      22.9710      0.0470     0.9540      0.0200      0.0400      0.0380    -0.00037200   -0.00085922   0.00
  1998be     0.6440      0.6440      0.0003      23.9060      0.0410     0.8160      0.0280      0.1060      0.0650    -0.00010500    -0.0011968   0.00
  1998ay     0.6380      0.6380      0.0003      23.8600      0.0780     1.0400      0.0410      0.0150      0.0840    -0.00048000    -0.0036835   0.00
  1998ax     0.4970      0.4970      0.0021      23.2480      0.0470     1.1500      0.0320      0.1130      0.0440     -0.0011250   -0.00063317   0.00
  1998as     0.3550      0.3550      0.0003      22.7240      0.0280     0.9560      0.0120      0.1580      0.0300    -0.00010100   -0.00053111   0.00
  1998bi     0.7400      0.7400      0.0020      23.9220      0.0240     0.9500      0.0270      0.0260      0.0500    -0.00028000   -0.00066892   0.00
  2000fr     0.5430      0.5430      0.0000      23.0650      0.0200     1.0640      0.0110     -0.0310      0.0250    -7.9000E-05   -0.00038750   0.00
