# name          zcmb        zhel          dz        dist       ddist       delta      ddelta          Ab         dAb  cov_m_del   cov_m_Ab  cov_delta
1995ba      0.388000    0.388000    0.000000   42.070000    0.190000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1995bd      0.015200    0.015200    0.000000   34.810001    0.250000    0.000000    0.000000    0.700000    0.000000   0.000000   0.000000   0.000000
1996C       0.027600    0.027600    0.000000   36.240002    0.200000    0.000000    0.000000    0.340000    0.000000   0.000000   0.000000   0.000000
1996E       0.425000    0.425000    0.000000   42.049999    0.400000    0.000000    0.000000    0.350000    0.000000   0.000000   0.000000   0.000000
1996H       0.620000    0.620000    0.000000   43.200001    0.300000    0.000000    0.000000    0.090000    0.000000   0.000000   0.000000   0.000000
1996I       0.570000    0.570000    0.000000   42.950001    0.250000    0.000000    0.000000    0.140000    0.000000   0.000000   0.000000   0.000000
1996J       0.300000    0.300000    0.000000   41.239998    0.250000    0.000000    0.000000    0.230000    0.000000   0.000000   0.000000   0.000000
1996K       0.380000    0.380000    0.000000   42.040001    0.220000    0.000000    0.000000    0.020000    0.000000   0.000000   0.000000   0.000000
1996R       0.160000    0.160000    0.000000   39.080002    0.400000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1996T       0.240000    0.240000    0.000000   40.680000    0.430000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1996U       0.430000    0.430000    0.000000   42.410004    0.340000    0.000000    0.000000    0.080000    0.000000   0.000000   0.000000   0.000000
1996V       0.024700    0.024700    0.000000   35.330002    0.250000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1996ab      0.124000    0.124000    0.000000   39.200001    0.220000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1996bo      0.016500    0.016500    0.000000   34.590000    0.270000    0.000000    0.000000    0.770000    0.000000   0.000000   0.000000   0.000000
1996bv      0.016700    0.016700    0.000000   34.919998    0.230000    0.000000    0.000000    0.710000    0.000000   0.000000   0.000000   0.000000
1996bl      0.034800    0.034800    0.000000   36.500000    0.190000    0.000000    0.000000    0.330000    0.000000   0.000000   0.000000   0.000000
1996cg      0.490000    0.490000    0.000000   43.210003    0.190000    0.000000    0.000000    0.630000    0.000000   0.000000   0.000000   0.000000
1996cm      0.450000    0.450000    0.000000   42.580002    0.190000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1996cl      0.828000    0.828000    0.000000   43.959999    0.460000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1996ci      0.495000    0.495000    0.000000   42.250000    0.190000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1996cf      0.570000    0.570000    0.000000   42.770000    0.190000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1997E       0.013200    0.013200    0.000000   34.139999    0.260000    0.000000    0.000000    0.120000    0.000000   0.000000   0.000000   0.000000
1997F       0.580000    0.580000    0.000000   43.040001    0.210000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1997H       0.526000    0.526000    0.000000   43.010002    0.180000    0.000000    0.000000    0.450000    0.000000   0.000000   0.000000   0.000000
1997I       0.172000    0.172000    0.000000   39.790001    0.180000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1997N       0.180000    0.180000    0.000000   39.980000    0.180000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1997P       0.472000    0.472000    0.000000   42.459999    0.190000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1997Q       0.430000    0.430000    0.000000   41.990002    0.180000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1997R       0.657000    0.657000    0.000000   43.270000    0.200000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
