# name          zcmb        zhel          dz        dist       ddist       delta      ddelta          Av         dAv  cov_m_del   cov_m_Av  cov_delta_Av
sn94F       0.354000    0.354000    0.000000   25.775002    0.375000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn94G       0.425000    0.425000    0.000000   25.525000    0.500000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn94H       0.374000    0.374000    0.000000   25.114998    0.300000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn94M       0.024400    0.024400    0.000000   19.704031    0.130000    0.000000    0.000000    0.400000    0.000000   0.000000   0.000000   0.000000
sn94Q       0.029000    0.029000    0.000000   20.118870    0.130000    0.000000    0.000000    0.260000    0.000000   0.000000   0.000000   0.000000
sn94S       0.016100    0.016100    0.000000   18.517904    0.120000    0.000000    0.000000    0.040000    0.000000   0.000000   0.000000   0.000000
sn94T       0.036000    0.036000    0.000000   20.294838    0.125000    0.000000    0.000000    0.170000    0.000000   0.000000   0.000000   0.000000
sn94U       0.005600    0.005600    0.000000   15.745000    0.150000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn94ae      0.005400    0.005400    0.000000   16.858549    0.140000    0.000000    0.000000    0.290000    0.000000   0.000000   0.000000   0.000000
sn94al      0.420000    0.420000    0.000000   25.945000    0.320000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn94am      0.372000    0.372000    0.000000   25.655001    0.285000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn94an      0.378000    0.378000    0.000000   25.975000    0.405000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn95D       0.007700    0.007700    0.000000   16.970806    0.120000    0.000000    0.000000    0.080000    0.000000   0.000000   0.000000   0.000000
sn95E       0.011600    0.011600    0.000000   20.678226    0.170000    0.000000    0.000000    2.180000    0.000000   0.000000   0.000000   0.000000
sn95K       0.478000    0.478000    0.000000   26.446451    0.190000    0.000000    0.000000    0.020000    0.000000   0.000000   0.000000   0.000000
sn95M       0.053000    0.053000    0.000000   21.347258    0.220000    0.000000    0.000000    0.100000    0.000000   0.000000   0.000000   0.000000
sn95ac      0.049000    0.049000    0.000000   21.117418    0.140000    0.000000    0.000000    0.240000    0.000000   0.000000   0.000000   0.000000
sn95ae      0.068000    0.068000    0.000000   21.575001    0.430000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn95ak      0.021900    0.021900    0.000000   19.587420    0.165000    0.000000    0.000000    0.550000    0.000000   0.000000   0.000000   0.000000
sn95al      0.006000    0.006000    0.000000   17.049999    0.130000    0.000000    0.000000    0.310000    0.000000   0.000000   0.000000   0.000000
sn95ao      0.300000    0.300000    0.000000   24.785000    0.780000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn95ap      0.230000    0.230000    0.000000   24.465000    0.600000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn95aq      0.453000    0.453000    0.000000   26.565001    0.320000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn95ar      0.465000    0.465000    0.000000   26.724998    0.350000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn95as      0.498000    0.498000    0.000000   27.105000    0.320000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn95at      0.655000    0.655000    0.000000   26.665001    0.290000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn95aw      0.400000    0.400000    0.000000   25.755001    0.280000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn95ax      0.615000    0.615000    0.000000   26.584999    0.320000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn95ay      0.480000    0.480000    0.000000   26.355000    0.310000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn95az      0.450000    0.450000    0.000000   25.905001    0.305000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn95ba      0.388000    0.388000    0.000000   26.045000    0.285000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn95bd      0.015200    0.015200    0.000000   19.483225    0.145000    0.000000    0.000000    0.940000    0.000000   0.000000   0.000000   0.000000
sn96C       0.027600    0.027600    0.000000   20.368225    0.130000    0.000000    0.000000    0.320000    0.000000   0.000000   0.000000   0.000000
sn96E       0.425000    0.425000    0.000000   25.978388    0.330000    0.000000    0.000000    0.150000    0.000000   0.000000   0.000000   0.000000
sn96H       0.620000    0.620000    0.000000   27.037903    0.215000    0.000000    0.000000    0.040000    0.000000   0.000000   0.000000   0.000000
sn96I       0.570000    0.570000    0.000000   26.872580    0.265000    0.000000    0.000000    0.070000    0.000000   0.000000   0.000000   0.000000
sn96J       0.300000    0.300000    0.000000   25.393871    0.320000    0.000000    0.000000    0.260000    0.000000   0.000000   0.000000   0.000000
sn96K       0.380000    0.380000    0.000000   25.954678    0.245000    0.000000    0.000000    0.030000    0.000000   0.000000   0.000000   0.000000
sn96R       0.151000    0.151000    0.000000   23.105000    0.520000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
