28.1525 5.41011 0.451477 0.119408 0.0584734 0.0550727 0.0683994 0.0722699 0.0754027 0.0877947 0.0723066 0.0815915 0.0766562 0.0627027 
5.41011 45.5612 8.00844 0.566168 0.229076 0.210267 0.267299 0.292519 0.310366 0.354253 0.295826 0.329097 0.313116 0.255083 
0.451477 8.00844 52.8196 9.61791 0.602285 0.437255 0.537482 0.597122 0.622091 0.737339 0.618324 0.687038 0.647991 0.531586 
0.119408 0.566168 9.61791 67.2279 10.0521 1.1914 1.16122 1.22774 1.31815 1.56494 1.36506 1.47463 1.41329 1.15781 
0.0584734 0.229076 0.602285 10.0521 55.2081 11.5227 2.31036 2.15201 2.34427 2.74986 2.38776 2.65684 2.52613 2.08275 
0.0550727 0.210267 0.437255 1.1914 11.5227 60.0106 12.8967 3.08555 3.12852 3.63524 3.2425 3.52283 3.40604 2.76034 
0.0683994 0.267299 0.537482 1.16122 2.31036 12.8967 76.8814 13.5002 5.04528 5.43088 4.81733 5.24301 4.97122 4.09305 
0.0722699 0.292519 0.597122 1.22774 2.15201 3.08555 13.5002 59.8775 15.2835 7.51108 6.09029 6.54857 6.3037 5.09134 
0.0754027 0.310366 0.622091 1.31815 2.34427 3.12852 5.04528 15.2835 64.5257 21.0099 7.91853 7.70873 7.41712 6.01235 
0.0877947 0.354253 0.737339 1.56494 2.74986 3.63524 5.43088 7.51108 21.0099 124.675 26.7706 10.481 8.93984 7.37659 
0.0723066 0.295826 0.618324 1.36506 2.38776 3.2425 4.81733 6.09029 7.91853 26.7706 114.128 29.4284 9.53915 7.00573 
0.0815915 0.329097 0.687038 1.47463 2.65684 3.52283 5.24301 6.54857 7.70873 10.481 29.4284 179.823 36.1509 9.51515 
0.0766562 0.313116 0.647991 1.41329 2.52613 3.40604 4.97122 6.3037 7.41712 8.93984 9.53915 36.1509 166.932 38.7688 
0.0627027 0.255083 0.531586 1.15781 2.08275 2.76034 4.09305 5.09134 6.01235 7.37659 7.00573 9.51515 38.7688 206.142 
