           1  3.757443338920270E-010  1.037840128209775E-010
           2  3.281673875018776E-010  6.039811823831940E-011
           3  2.500993378062448E-010  4.526025600006162E-011
           4  2.646084036989928E-010  4.682118635641383E-011
           5  1.422474374450568E-010  3.575221223282968E-011
           6  9.228458684247315E-011  3.491499940537911E-011
           7  1.201958462182067E-010  4.447515962852972E-011
           8  3.113576194562141E-011  3.881657709982321E-011
           9 -3.366423243232130E-011  3.639797578080091E-011
          10  7.245164810067589E-011  5.462176323464047E-011
          11 -7.786555400074849E-011  6.233240942361917E-011
          12  1.572666513656290E-010  1.006142277899471E-010
          13  2.396237184242142E-011  1.157742009967001E-010
          14  1.827156815290166E-010  1.499280707692060E-010
          15 -3.024362251765962E-010  1.501108891974753E-010
          16 -3.208973883055238E-010  2.006941081249892E-010
 -2Ln(L) =   -95800.2868769245     
