  1.66452E-10  3.00121E-13  1.36841E-12  4.30076E-13
  6.73130E-11  7.61088E-13  1.04764E-12  2.28132E-13
  6.78328E-11  1.12962E-12  8.31569E-13  2.44397E-13
  1.06113E-10  2.13226E-12  5.01428E-13  8.69312E-14
  1.09951E-10  3.36689E-12  6.17330E-13  2.28950E-13
  1.62145E-10  4.46276E-12  7.14620E-13  3.95112E-13
  2.46282E-10  7.20820E-12  9.61035E-13  4.66322E-13
  2.43303E-10  9.16664E-12  1.02107E-12  6.06601E-13
  2.96876E-10  1.10333E-11  9.32609E-13  4.54375E-13
  4.89776E-10  1.45218E-11  1.42590E-12  6.49489E-13
  6.93605E-10  1.66912E-11  1.75982E-12  8.63910E-13
  1.10711E-09  2.30851E-11  2.95536E-12  1.37389E-12
  1.37099E-09  2.87073E-11  3.47370E-12  1.44981E-12
  1.88085E-09  3.20208E-11  3.95970E-12  1.62495E-12
  2.07440E-09  2.99534E-11  3.33236E-12  1.38794E-12
  4.43463E-09  3.03276E-11  3.81549E-12  1.60379E-12
