   1.82019E+01   5.67497E+00   9.00359E-01   3.03017E-01   1.75968E-01   1.34930E-01   9.04228E-02   1.00037E-01   9.99557E-02   9.25777E-02   1.06111E-01   9.96919E-02   3.59334E-02
   5.67497E+00   2.80393E+01   9.79003E+00   1.15597E+00   4.85563E-01   3.16406E-01   1.96381E-01   2.27029E-01   2.24694E-01   1.80219E-01   1.98315E-01   2.34078E-01   1.12553E-01
   9.00359E-01   9.79003E+00   3.98207E+01   1.07490E+01   1.54225E+00   6.93882E-01   3.49284E-01   3.28050E-01   3.30593E-01   2.98088E-01   2.99674E-01   3.44895E-01   1.75036E-01
   3.03017E-01   1.15597E+00   1.07490E+01   3.76237E+01   1.21622E+01   1.74687E+00   5.26070E-01   4.56681E-01   3.98153E-01   3.45368E-01   3.91435E-01   4.33389E-01   2.37039E-01
   1.75968E-01   4.85563E-01   1.54225E+00   1.21622E+01   4.82539E+01   1.49716E+01   1.71787E+00   7.90512E-01   5.36033E-01   4.45918E-01   5.00128E-01   5.09849E-01   2.88587E-01
   1.34930E-01   3.16406E-01   6.93882E-01   1.74687E+00   1.49716E+01   5.72718E+01   1.31687E+01   2.51294E+00   9.36425E-01   7.21555E-01   7.52441E-01   7.75257E-01   3.93568E-01
   9.04228E-02   1.96381E-01   3.49284E-01   5.26070E-01   1.71787E+00   1.31687E+01   3.95427E+01   1.39582E+01   2.20636E+00   9.26666E-01   8.65221E-01   9.37918E-01   4.95992E-01
   1.00037E-01   2.27029E-01   3.28050E-01   4.56681E-01   7.90512E-01   2.51294E+00   1.39582E+01   5.34462E+01   1.47846E+01   3.14764E+00   1.66211E+00   1.70779E+00   9.42443E-01
   9.99557E-02   2.24694E-01   3.30593E-01   3.98153E-01   5.36033E-01   9.36425E-01   2.20636E+00   1.47846E+01   5.99235E+01   1.65855E+01   4.11823E+00   2.21952E+00   1.20003E+00
   9.25777E-02   1.80219E-01   2.98088E-01   3.45368E-01   4.45918E-01   7.21555E-01   9.26666E-01   3.14764E+00   1.65855E+01   6.18724E+01   2.03115E+01   4.02821E+00   1.36127E+00
   1.06111E-01   1.98315E-01   2.99674E-01   3.91435E-01   5.00128E-01   7.52441E-01   8.65221E-01   1.66211E+00   4.11823E+00   2.03115E+01   8.23686E+01   2.26292E+01   3.56584E+00
   9.96919E-02   2.34078E-01   3.44895E-01   4.33389E-01   5.09849E-01   7.75257E-01   9.37918E-01   1.70779E+00   2.21952E+00   4.02821E+00   2.26292E+01   7.18634E+01   1.94546E+01
   3.59334E-02   1.12553E-01   1.75036E-01   2.37039E-01   2.88587E-01   3.93568E-01   4.95992E-01   9.42443E-01   1.20003E+00   1.36127E+00   3.56584E+00   1.94546E+01   4.09178E+01
