0.0104 3.475 0.029
0.0104 3.525 0.026
0.0104 3.545 0.028
0.0112 3.469 0.034
0.0127 3.684 0.031
0.0132 3.605 0.069
0.0132 3.624 0.024
0.0136 3.548 0.023
0.0141 3.626 0.025
0.0141 3.636 0.026
0.0141 3.686 0.039
0.0157 3.684 0.032
0.0161 3.693 0.024
0.0162 3.662 0.023
0.0164 3.677 0.023
0.0166 3.730 0.039
0.0170 3.650 0.028
0.0170 3.686 0.028
0.0171 3.729 0.046
0.0175 3.730 0.026
0.0178 3.745 0.021
0.0180 3.684 0.024
0.0186 3.777 0.021
0.0193 3.740 0.039
0.0218 3.837 0.026
0.0233 3.847 0.023
0.0234 3.897 0.042
0.0244 3.835 0.026
0.0250 3.871 0.057
0.0251 3.845 0.026
0.0257 3.888 0.037
0.0260 3.933 0.028
0.0262 3.864 0.031
0.0265 3.939 0.027
0.0266 3.911 0.030
0.0276 3.989 0.026
0.0286 3.933 0.032
0.0290 3.955 0.026
0.0297 4.033 0.029
0.0307 3.977 0.025
0.0316 3.983 0.029
0.0327 3.956 0.037
0.0331 3.938 0.032
0.0348 4.033 0.031
0.0360 4.014 0.025
0.0360 4.036 0.030
0.0360 4.112 0.032
0.0380 4.147 0.033
0.0400 4.101 0.042
0.0430 4.095 0.022
0.0450 4.084 0.039
0.0450 4.191 0.026
0.0460 4.099 0.033
0.0490 4.160 0.028
0.0490 4.206 0.043
0.0490 4.208 0.051
0.0500 4.149 0.026
0.0500 4.209 0.026
0.0510 4.139 0.036
0.0520 4.231 0.026
0.0530 4.243 0.044
0.0538 4.175 0.030
0.0540 4.230 0.039
0.0550 4.242 0.039
0.0560 4.283 0.042
0.0580 4.222 0.025
0.0580 4.256 0.130
0.0600 4.262 0.059
0.0610 4.252 0.030
0.0620 4.240 0.045
0.0630 4.327 0.026
0.0650 4.356 0.043
0.0680 4.315 0.086
0.0710 4.345 0.026
0.0750 4.296 0.039
0.0750 4.359 0.026
0.0790 4.336 0.026
0.0800 4.398 0.059
0.0810 4.442 0.063
0.0880 4.441 0.027
0.0900 4.507 0.030
0.0910 4.458 0.045
0.0920 4.462 0.069
0.1000 4.428 0.040
0.1010 4.513 0.027
0.1240 4.621 0.032
0.1400 4.680 0.045
0.1510 4.621 0.104
0.1550 4.706 0.124
0.1600 4.792 0.098
0.1900 4.888 0.065
0.2300 4.893 0.120
0.2410 4.941 0.112
0.2780 5.007 0.047
0.3000 4.957 0.156
0.3000 5.010 0.064
0.3100 5.096 0.072
0.3340 5.070 0.051
0.3800 5.183 0.049
0.4200 5.242 0.049
0.4250 5.156 0.066
0.4300 5.288 0.054
0.4400 5.228 0.041
0.4400 5.355 0.050
0.4550 5.289 0.048
0.4600 5.336 0.042
0.4670 5.260 0.043
0.4700 5.340 0.043
0.4700 5.343 0.041
0.4770 5.249 0.039
0.4780 5.284 0.038
0.4900 5.224 0.042
0.5000 5.321 0.070
0.5000 5.323 0.047
0.5000 5.352 0.053
0.5080 5.158 0.049
0.5180 5.356 0.049
0.5400 5.236 0.049
0.5700 5.356 0.053
0.6200 5.397 0.043
0.6300 5.396 0.045
0.8150 5.564 0.051
0.8330 5.615 0.052
0.8600 5.698 0.070
0.8870 5.575 0.053
0.9490 5.580 0.053
0.9700 5.638 0.075
1.0560 5.659 0.054
1.1990 5.651 0.068
1.7550 5.905 0.083
